Uttar_Pradesh,Madhya_Pradesh, Rajasthan,Maharashtra,Gujarat, Bihar,Haryana,Punjab,Shandong,Hebei,Henan,Jiangsu,Anhui,KANSAS,NORTH_DAKOTA,IDAHO,WASHINGTON,MONTANA,OKLAHOMA,SOUTH_DAKOTA,MINNESOTA,NEBRASKA,TEXAS,Buenos_Aires_t_per_ha,Cordoba_t_per_ha,Entre_Rios_t_per_ha,Santa_Fe_t_per_ha,New_South_Wales,Southern_Australia,Western_Australia,France,Germany,Poland,United.Kingdom,Central.Federal.District,Southern.Federal.District..2009.,Volga.Federal.District,Ukraine_FAO
-0.060219008,0.101659614,-0.592717112,0.247555766,-0.313475669,0.231270094,0.036804566,0.085113355,0.105597947,-0.272609743,-0.29689327,-0.143797876,0.178866764,0.069064081,0.024729398,-0.263775805,-0.373912231,-0.388609711,-0.231937261,-0.28221447,-0.908835959,-0.279678469,-0.26218155,-0.189153931,0.083568954,-0.156203413,-0.23549779,0.793793046,0.200087955,0.107398688,0.011760993,-0.05664315,-0.408600759,-0.084293936,NA,NA,NA,0.391122945
0.091178393,0.170596159,0.052400568,0.269570649,0.471782652,0.169202569,0.013206919,0.101076595,0.348989598,0.103272377,-0.498931457,-0.153985142,0.071180589,-0.752535642,-0.312295885,0.141518439,0.041187155,-0.119738351,-0.635490987,-0.011166646,-0.671442643,0.176365112,-0.199520109,-0.010277996,0.106200261,-0.093329368,-0.141904872,-1.170339518,-0.495658659,-0.217921131,-0.197261313,-0.019517524,-0.013369033,0.212610406,NA,NA,NA,0.278736714
-0.020771929,0.060280103,0.084001873,0.073887602,-0.063409687,0.071994538,-0.043756796,-0.163922497,0.199199292,0.154415921,-0.092600101,0.262508741,0.091102807,-0.56492149,-0.024203858,0.021543534,0.499291833,-0.711947421,-0.770026137,0.158261477,-0.037645306,-0.241941927,-0.270563285,-0.281779872,-0.43369144,-0.276126455,-0.40527557,0.146458502,0.215189629,0.121543715,0.384949009,0.305497251,-0.18099989,0.619871835,-0.206146621,0.072353538,-0.225497424,-0.400959573
0.156543824,0.1726605,0.272639961,0.229414657,-0.016507077,0.25213058,0.066964305,0.131264025,0.562857245,0.550720754,0.446413864,0.227022771,0.777918809,0.564645595,-0.536698971,0.209411076,0.307572937,-0.490715783,0.104200867,-0.379190909,-0.735770561,-0.122349312,-0.071942295,0.014999153,-0.307273241,0.342988243,-0.134466065,0.826072673,0.229006815,0.129598653,-0.159972008,0.208871787,-0.454536754,-0.187081507,0.181099445,-0.115505359,0.603572773,0.116835644
-0.059696272,-0.082633303,-0.017323234,-0.358122534,0.024119898,0.390654456,-0.220155129,-0.30090797,0.007714662,0.102487091,-0.303686571,-1.043869815,-0.859396031,0.753154654,-0.040760733,0.213463035,0.111465116,-0.451347351,0.574935823,0.118240393,-0.190144942,0.467893251,0.32898109,0.455497795,-0.432533525,0.021091906,-0.450184714,0.214289779,0.26543992,0.203249998,0.790960571,0.080477258,-0.058221263,-0.038633022,0.015113086,-0.048953315,-0.458645038,-0.075297991
-0.077790711,0.10712947,-0.079096681,0.006889842,0.045868157,0.116001248,-0.026053514,0.130728822,0.127890223,0.170904093,0.097941491,0.425935845,0.331293636,0.60584474,-0.331968719,0.019585552,-0.3918277,-0.674546093,0.305925982,0.292094591,-0.277044906,0.587286079,0.39411241,-0.213435221,0.125717987,0.373865834,0.13559787,0.268136376,0.264192092,0.175264902,0.40158987,0.361722527,-0.198993343,0.431027502,-0.114451418,0.156095328,0.110559521,-0.447202123
0.128857972,0.160295197,-0.072488824,0.062149855,-0.298721103,0.213707532,0.165981045,0.451182977,-0.26904439,-0.09124073,-0.163059166,-0.258252524,-0.581376878,-0.079045065,0.028822434,0.400564474,0.525847443,-0.797166031,0.238669544,0.236510914,0.308178175,-0.234920489,-0.011127656,-0.151771163,0.203570188,-0.222334682,0.497798729,0.710069116,-0.225896479,0.341812554,0.252821446,0.053585485,-0.496191268,0.368303281,-0.2979252,-0.13774829,-0.120224964,-0.778437669
0.053259016,-0.252238737,-0.255765449,-0.074379642,-0.179002515,0.163727939,0.05476535,0.278200995,-0.631200366,-0.323661797,-0.028095892,-0.225569627,-0.217532305,0.110724374,-0.094916977,-0.446414816,-0.309878721,-1.128561243,0.171415333,0.052353622,-0.068651989,-0.182976093,0.256444627,0.171118708,0.176160541,-0.44610048,-0.295747528,0.339875377,0.475763703,-0.330998395,-0.266676144,0.61013821,-0.208351736,-0.574513868,0.444374941,0.245014458,0.253549281,0.328919033
0.050288163,-0.120341166,0.092290851,0.031447006,-0.045472037,0.073301116,0.004649635,0.210239597,-0.807139301,-0.256325819,-0.299056183,-0.581224913,-0.770037432,-0.371607737,-0.44764172,-0.389971207,-0.431094823,-1.13746086,-0.164837422,-0.744587987,-0.7686616,-0.467380349,-0.080975873,-0.145766861,0.137445025,-1.127598633,-0.61810882,0.529425706,0.767699949,0.149225452,0.545226681,-0.405033847,0.093790077,0.330549803,0.532146232,0.210957999,0.316771225,0.250582423
-0.139289509,-0.300356276,-0.033231486,-0.086290391,-0.547115876,-0.10383115,-0.08847051,-0.155228775,-0.376362533,-0.163072603,-0.269607704,-0.582122377,-0.992687115,0.625947892,0.201318372,-0.197133751,-0.100231788,-0.870944074,0.574910776,0.280125434,0.797273232,0.391367146,-0.149184866,-0.527429118,-0.378621914,-0.673002542,-0.542355688,-0.972372248,-0.584259405,-0.726930475,-0.664283084,-0.84531806,-0.37279955,0.093542168,-0.344900408,-0.82224512,-0.433738444,-1.35453324
0.029357917,0.029974189,0.012114761,-0.235505324,0.134593206,-0.230964156,-0.243328684,-0.178845358,-0.128832267,0.004473479,-0.043498306,-0.044708328,-0.445256281,-0.124619341,0.318658397,0.508376467,0.137838556,-0.416440129,0.305909597,0.483558294,0.560526486,-0.229483179,0.05177985,0.141130699,-0.015087415,0.191507991,0.114438604,0.023478839,0.133416993,0.616547968,0.652634407,0.7989346,0.486947061,0.080677034,-0.107040739,0.256176313,0.016223751,0.317998387
-0.290006821,-0.047322931,0.019108926,-0.085726329,-0.09788631,-0.404003122,-0.314301239,-0.192622035,-0.021034422,-0.083158821,-0.06945604,-0.015567501,-0.541139943,0.066680075,-0.048551615,0.388014237,0.09467932,-0.285053331,0.104158825,0.154875068,-0.402902762,-0.110680875,0.118387094,0.186911358,-0.076000262,0.117746705,-0.026802035,-0.035836302,-0.327605895,0.049080424,0.052566852,0.067415059,0.14439893,0.25752611,0.025462416,0.08307055,-0.22377905,-0.034268563
-0.189310133,-0.179783869,-0.094492274,-0.060300691,0.086470932,-0.402476089,-0.402469811,-0.260021381,0.105946955,-0.221650855,0.263500821,0.372692155,0.03507679,-0.481414217,-0.342141701,-0.168396644,0.052613955,-0.806313043,-0.433841679,-0.510909686,-0.008265338,-0.328225467,-0.420138813,-0.160088367,-0.028410937,0.458520851,0.412843371,0.457563638,0.238289774,0.277317962,-0.203255292,-0.218641272,-0.580673635,0.325911421,-0.247641234,-0.119613918,0.126220742,-0.384833195
-0.117612444,0.032284291,-0.139519564,-0.152445049,-0.148743427,-0.115500688,-0.042863894,-0.252068402,0.079803866,-0.069138271,0.231573771,0.433815729,0.209038707,-0.423912435,-0.010666971,-0.468369733,-0.183498693,-0.816798689,-0.164842009,0.147268682,-0.01078697,0.126633539,0.453681013,0.160130305,-0.439371679,0.294631184,0.044292752,-1.093392185,-0.99223807,-0.363082946,-0.697663756,-0.47695408,0.098100909,-0.492001639,0.033410125,-0.236530751,0.316220727,-0.613226303
-0.04273913,-0.198708332,-0.174271685,0.157912978,0.332494302,0.030029075,-0.142273691,0.024051629,0.146177335,-0.00149615,0.205264052,0.472828434,0.324070485,0.037425359,-0.009082601,-0.296861656,-0.593589583,-0.807439752,0.440407775,0.596099922,0.490681717,0.177896662,-0.017420769,-0.194433835,0.824063451,0.091871987,0.614460877,-1.189830555,-0.577528583,-0.26808156,0.143842887,0.633100712,0.217595291,0.559789462,0.818389997,0.469711314,0.316220725,0.671012423
0.122484667,-0.094824112,0.221083077,-0.041084223,-0.336797145,0.011675876,0.067772778,-0.039611904,0.120709342,0.039524968,0.101312635,0.492003331,0.252806676,0.162839259,0.557031156,0.070272849,-0.424554861,-0.616840777,-0.568342366,0.035298904,0.245290206,0.430814445,-0.35395839,-0.653781992,-0.791161486,-1.049968874,-1.352740764,-0.196873523,-0.532688088,0.186795043,0.483794943,0.340988762,0.305083377,0.204318881,0.277083133,-0.232326315,0.326220725,0.046756371
-0.050287573,0.142801548,0.149167892,0.06200665,-0.068196678,0.04918902,-0.128640969,-0.211628197,0.098593932,-0.046517769,0.023180213,0.473629564,0.263301705,0.355819531,0.409918978,0.108376563,0.202468622,-0.10378137,0.036907542,0.146105622,0.335763083,0.078387453,0.251056488,-0.067915364,-0.94010438,1.15089014,0.145595911,-0.464787194,0.221596092,-0.014006379,-0.525552272,-0.16988552,0.062940123,-0.056252406,-1.000714892,-0.113429964,-0.803779275,-0.415789576
0.200551055,-0.07243238,-0.101595101,0.189968225,0.374449415,-0.089518447,0.264475464,0.159045755,0.149767631,0.163662887,-0.056762823,0.50058099,0.172069853,-0.325143386,-0.47059953,0.301561048,0.661977725,-0.539291202,-0.568342519,-0.450114788,-0.273549952,0.196616275,-0.287135693,1.022164858,0.847174864,0.704224378,1.060375455,0.941270906,0.876511941,-0.556222651,-0.792321878,-0.476482155,0.242241531,0.016459235,-0.525198118,0.265972612,0.066220725,0.201422748
0.185887094,0.525885217,0.137101455,-0.035726625,0.199935902,0.166100167,0.654573349,0.350414829,0.284509339,0.360246052,-0.08191639,0.574755117,0.335775256,0.137441131,0.403720159,-0.009296537,0.368827382,-0.591825005,0.373157442,0.075827963,0.407950911,-0.088748477,0.116207241,0.818457491,0.315614258,0.197803173,0.386498751,NA,NA,NA,0.169681521,-0.168028904,0.239464607,-1.07744347,-0.496550625,-0.709941184,-0.653779275,-0.40931307
