year,Illinois,Iowa,Minnesota,Nebraska,South_Dakota,North_Dakota,Kansas,Missouri,Indiana,Ohio,Arkansas
1983,72.63703938,59.61888995,26.64047822,67.77990984,60.18770013,40.38349403,87.74100148,80.57569239,69.27811245,47.93074358,98.52676935
1984,51.4531077,32.38126774,13.34860992,56.96578431,41.44617424,30.22692838,89.5193596,68.12086582,40.8559237,23.85246223,94.5720572
1985,29.00490274,21.20056765,4.619888035,44.70199977,35.0121453,14.34263086,72.75837401,45.82643184,24.8998494,16.46439082,98.2970297
1986,43.71168749,23.92888679,7.189866212,47.3650445,31.94656068,12.20948118,77.13534688,66.10621135,37.1119478,20.58446145,102.0091676
1987,68.25905425,40.90113528,19.49824461,55.80499364,46.73335542,19.14313591,84.92460543,79.3912342,55.57781124,36.55071611,111.6969197
1988,82.79724814,70.83443709,42.21595977,74.46746041,72.53593904,53.51010101,97.05461564,85.62879807,74.43172691,51.1367471,112.7783278
1989,35.09062154,28.66256702,17.4155992,48.07305513,52.68400133,31.9229798,63.97456569,43.76404948,24.5373996,13.52364136,68.23964062
1990,36.98655701,25.66225166,8.506499668,61.64443417,48.42453351,25.33390725,91.96309753,67.91395536,24.47439759,12.28251913,102.1477814
1991,66.68148031,34.17139704,14.25220609,63.10368743,48.1613117,23.19777318,96.00090837,81.98023662,61.97665663,44.46262506,98.66831684
1992,20.65522695,7.078839482,0.863364645,19.55010981,9.688969859,4.474862259,49.75474056,32.94474321,13.75050201,7.347263096,64.46773011
1993,35.7893405,11.29217912,1.608786412,22.69610449,9.555592359,1.441919191,63.97876689,56.85130412,33.2126004,30.54522268,91.26200953
1994,36.57172228,14.84310943,3.406679952,50.61010288,30.14000221,11.56887052,89.05529692,54.74576499,31.66014056,19.46772611,86.04657133
1995,56.01518267,37.2068748,14.05038429,57.57126343,39.21574473,21.92676768,74.87475871,62.96275881,50.29066265,33.92485777,88.11551155
1996,30.86240709,10.10927152,4.123066705,30.73078257,32.73059512,17.44168962,69.75712501,47.62947029,21.63253012,15.06180106,85.93747707
1997,29.01755495,16.77041943,5.983774551,39.59507571,30.39869714,16.41919192,68.85261723,50.31244959,18.90261045,10.38120463,80.76769344
1998,40.74711371,25.81693472,10.69769428,54.12923362,44.17014464,25.51297061,101.1843988,75.40158645,31.81099398,23.89405533,121.1741841
1999,44.00664241,25.53327026,9.318910713,40.06068663,34.23595009,12.42355372,70.38946292,62.65151922,48.30346386,40.97724151,96.48239822
2000,28.1995888,18.94339325,5.474712971,67.16761068,49.52776858,19.40713958,96.46417623,57.75396612,14.73217872,5.341573474,90.68903557
2001,36.717381,26.26663513,16.27924851,58.89781527,49.84763168,26.55773645,90.11241058,60.65877924,22.59738956,15.74082794,88.1320132
2002,59.28404238,34.56527909,14.67795806,73.0628829,60.99503147,25.6533517,96.99375497,78.51586447,54.86019076,43.16853051,95.17693436
2003,32.05187411,30.14774519,14.20742006,59.57889262,55.6604836,35.46303949,75.75405926,62.45307878,17.49146586,8.867961545,81.61661166
2004,21.33828879,8.614159571,3.825315494,34.90579124,25.09539583,7.134641873,67.98115135,37.04154343,11.52585341,6.865607219,62.75962596
2005,66.40028466,48.90034689,16.630705,63.90972141,52.64800707,24.14348026,99.00386057,84.34552298,47.6684237,38.33666863,101.9119912
2006,44.33987031,33.94591611,21.53809659,67.15755404,58.30517831,38.38016529,91.96934257,76.1737026,23.6749498,18.61526388,95.43747709
2007,60.68290369,33.37764113,16.47433343,59.25939197,53.25681793,28.62419651,84.51561257,77.42524872,57.09161646,37.84343732,99.79721306
2008,31.49043176,15.43456323,7.172881677,42.75528841,36.95903721,18.16241965,73.9514023,50.22667383,30.39733936,21.98175397,82.11734507
2009,21.01217776,8.505834122,2.502134928,25.15304589,16.66777079,7.836547291,67.06267742,41.31917181,10.17570281,7.251912891,79.62339567
2010,61.98007276,30.8965626,12.40278964,52.77736678,38.60649222,13.82713499,95.72941978,80.97996774,64.94779116,35.93859133,120.0770077
2011,57.88280879,34.99164301,18.04004175,53.97584095,42.7966214,18.87098255,98.06494834,80.12463028,54.50451808,35.55522856,107.4339934
2012,72.65111498,57.73304952,30.6856438,87.41879551,70.14574363,37.93204775,110.1367094,91.56265125,62.7377008,47.54620365,112.0654566
