Anhui,Guangdong,Guangxi,Guizhou,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Sichuan,Yunnan
156.6266265,175.9526577,166.4950882,153.9705408,154.0586416,150.3665678,152.671633,156.5401612,169.7678634,176.2167823,194.4456271
174.1312427,182.6615068,170.8123278,157.1079282,177.1702149,166.9983006,159.9651637,176.0349279,173.2565035,173.7189305,187.5282761
161.9718473,161.3425532,159.2037532,153.3253278,165.4346065,156.4554267,148.2295591,167.8558888,154.9400159,171.5288395,191.833134
158.1313339,157.6433307,152.4611772,153.4014543,168.1951668,158.4015468,145.6601559,160.47043,149.8849269,181.2514586,191.4394391
175.1196227,190.3360514,188.2354448,174.1982726,184.6105561,175.4477543,173.2134687,173.8740102,178.88852,186.6328702,204.8587524
177.0653298,189.0386006,183.0592956,174.0112866,188.5196013,178.9947591,171.7420099,177.209545,177.2321722,188.4799085,199.1256805
174.6342298,186.16215,179.5190755,174.9065094,185.7558612,176.3086908,170.148569,177.8175135,173.0168079,188.5453928,209.3451355
169.5822039,180.1561386,176.151525,168.9242113,182.5157535,171.0054638,163.6060911,170.7056659,167.6908932,186.0488607,209.5465456
173.3893633,183.3461853,177.7281201,176.333792,187.4827207,180.3165838,173.3373769,173.0569602,173.8402234,194.4883182,203.1396319
175.8478815,173.7823941,171.593754,165.4078996,188.1267845,171.1111911,157.2653527,177.881891,167.6055066,184.4790793,207.3352815
